headline,date
"Awarded a [Grant for Exploratory Collaborative Scholarship](https://www.bc.edu/content/bc-web/centers/schiller-institute/programs/schiller-institute-grants.html#program_description)",2021-05-19
"Serving as a program committee for [IEEE VIS 2021](http://ieeevis.org/year/2021/info/committees/program-committees)",2021-04-01
"Giving a talk about Tools for thought: Reimagining the Ways We Create Visualizations at [DataFest Tbilisi 2020](http://datafest.ge/)",2020-12-16
"Giving a talk about [Testing & Evaluation for Truthful Data Visualization](https://www.youtube.com/watch?v=02rP8_K3gSg) at [MESA in the Lynch School of Education](https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/mesa.html)",2020-11-18
"Judging at [Hack the Heights](http://hacktheheights.com/)",2020-11-15
"Welcomes [Changhoon Oh](http://www.changhoonoh.com/), my first postdoc!",2020-11-02
"Accepted to [Faculty Cohorts On Teaching for Inclusion and Social Justice](https://www.bc.edu/offices/cte/programs-and-events/faculty-cohorts.html)",2020-04-10
"Serving as a program committee for [IEEE VIS Short Papers](http://ieeevis.org/year/2020/welcome)",2020-06-15
"Giving a guest lecture on human-centered design at [UMass Boston](http://cs410.net/)",2020-03-02
"Received a student well-being grant from [The University Council on Teaching](https://www.bc.edu/content/bc-web/academics/sites/provost/academics-research/University-Council-on-Teaching.html#well_being_grants)",2020-02-28
"One poster accepted to [CHI 2020](https://chi2020.acm.org/authors/late-breaking-works/)",2020-02-07
"Judging at [Hack the Heights](http://hacktheheights.com/)",2020-02-16
"Serving as a program committee for [IEEE InfoVis](http://ieeevis.org/year/2020/welcome)",2020-04-01
"Judging student research at [NCRC](https://www.ncrc.hcura.org/)",2020-01-26 
"Two papers accepted to [CHI 2020](https://chi2020.acm.org/)",2020-01-20
"Presenting my dissertation research at [Ajou University](https://media.ajou.ac.kr/)",2019-12-16 
"Serving as a program committee for [CHI 2020](https://chi2020.acm.org/)",2019-09-18
"Serving as a program committee for [CSCW 2020](http://cscw.acm.org/2020/)",2019-09-11
"[Dr. Robert Krueger](https://kruegert.github.io/) will present our recent paper [Facetto](assets/files/publications/journal/facetto-combining-unsupervised-and-supervised-learning-for-hierarchical-phenotype-analysis-in-multi-channel-image-data/paper.pdf) at IEEE VIS",2019-10-22
"Serving as a program committee for [IUI 2020](https://iui.acm.org/2020/)",2019-10-08
"Serving as a program committee for [PacificVis 2020](https://iui.acm.org/2020/)",2019-10-04
"Teaching the first [visualization course](https://bcviscourse.github.io/) at Boston College", 2019-08-27
"Starting a new faculty position at [Boston College](https://www.bc.edu/bc-web/schools/mcas/departments/computer-science.html) ", 2019-07-01
"Sharing job materials: [CV](assets/files/materials/CV_2018.pdf), [Cover Letter](assets/files/materials/CoverLetter.pdf), [Research Statement](assets/files/materials/Research_Statement.pdf), [Teaching Statement](assets/files/materials/Teaching_Statement.pdf), [Diversity Statement](assets/files/materials/Diversity_Statement.pdf).", 2019-07-01
"Presenting [DataSelfie](https://dataselfie.namwkim.org/) at [CHI 2019](https://chi2019.acm.org)", 2019-05-09
"Presenting [DataToon](https://datatoon.github.io/) at [CHI 2019](https://chi2019.acm.org)", 2019-05-08
"Successfully defended my [dissertation](https://www.namwkim.org/assets/files/publications/thesis/from-exploration-to-explanation-designing-for-visual-data-storytelling/paper.pdf)!", 2019-04-23
"Presenting [Story Curves](https://storycurve.namwkim.org) at [Boston Area Digital Scholarship Symposium](https://harvard-dssg.github.io/boston-area-dss/)", 2019-04-10
"Special Recognition for Outstanding Review, CHI 2019", 2019-01-26
"Presenting my dissertation research at KAIST", 2019-01-16
"Two papers conditionally accepted to [CHI 2019](https://chi2019.acm.org).", 2018-12-10
"Named as one of 2019 [Siebel Scholars](https://www.seas.harvard.edu/news/2017/10/five-computer-science-graduate-students-named-2018-siebel-scholars).", 2018-10-05
"Presented [BubbleView](https://bubbleview.namwkim.org/) with Zoya at [CHI 2018](https://chi2018.acm.org/).", 2018-04-25
"Led two coding labs in [CS 179](http://sp18.cs179.org/course-timeline/) at Harvard.", 2018-02-20
"Gave a [mini-course](http://www.namwkim.org/datavis/2018/) on visualization as part of January @ GSAS at Harvard.", 2018-01-11
"Received [Rising Star BRONZE](https://www.informationisbeautifulawards.com/news/259-winners-2017) in Kantar Information is Beautiful Awards.", 2017-11-28
"[Data-Driven Guides](https://www.informationisbeautifulawards.com/showcase/2575-data-driven-guides-supporting-expressive-design-for-information-graphics) shortlisted in Kantar Information is Beautiful Awards 2017.", 2017-10-19
"Presented [Story Curves](https://storycurve.namwkim.org) at IEEE VIS 2017.", 2017-10-03
"Presented [Story Curves](https://storycurve.namwkim.org) at Walt Disney Imagineering.",2017-06-08
"Internship in the [EPIC group](https://www.microsoft.com/en-us/research/group/epic/) at Microsoft Research.", 2017-04-17
"Invited talk at Pegasystem, Inc. on visualization for communication.", 2017-04-13
"Invited talk at MIT Graphics talk series on visualization for communication.", 2017-04-12
