type,title,authors,venue,venue_abbreviation,year,featured,award,website,slides,video,code,data,software,supplement,media,abstract
Journal,"Accessible Visualization: Design Space, Opportunities, and Challenges","Nam Wook Kim, Shakila Joyner, Amalia Riegelhuth, Yea-Seul Kim", Computer Graphics Forum,EuroVis,2021
Poster,Toward a Unified Framework for Visualization Design Guidelines,"Jinhan Choi, Changhoon Oh, Bongwon Suh, Nam Wook Kim",Extended Abstracts of ACM Conference on Human Factors in Computing Systems,CHI,2021
Poster,VisLab: Crowdsourcing Visualization Experiments in the Wild,"Jinhan Choi, Changhoon Oh, Bongwon Suh, Nam Wook Kim",Extended Abstracts of ACM Conference on Human Factors in Computing Systems,CHI,2021
Conference,ICONATE: Automatic Compound Icon Generation and Ideation,"Nanxuan Zhao, Nam Wook Kim, Laura Mariah Herman, Hanspeter Pfister, Rynson Lau, Jose Echevarria, Zoya Bylinskii",ACM Conference on Human Factors in Computing Systems,CHI,2020,,,http://nxzhao.com/projects/ICONATE/,,yes,,,https://iconate.namwkim.org/,yes,,
Conference,TurkEyes: A Web-Based Toolbox for Crowdsourcing Attention Data,"Anelise P Newman, Barry Anthony McNamara, Camilo Luciano Fosco, Yun Bin Zhang, Pat Sukhum, Matthew Tancik, Nam Wook Kim, Zoya Bylinskii",ACM Conference on Human Factors in Computing Systems,CHI,2020,,,http://turkeyes.mit.edu/,,yes,https://github.com/turkeyes,,,,,
Journal,Facetto: Combining Unsupervised and Supervised Learning for Hierarchical Phenotype Analysis in Multi-Channel Image Data,"Robert Krueger, Johanna Beyer, Won-Dong Jang, Nam Wook Kim, Artem Sokolov, Peter K. Sorger, Hanspeter Pfister",IEEE Transactions on Visualization and Computer Graphics,InfoVis,2020,,,,,,,,,,, 
Thesis,From Exploration to Explanation: Designing for Visual Data Storytelling,"Nam Wook Kim",Harvard University,,2019,,,,https://storage.googleapis.com/namwkim/Defense/index.html,https://youtu.be/jGr3YQ_BzBA,,,,,,
Thesis,Supporting Collaborative Sensemaking in Genealogical Research,"Nam Wook Kim",Stanford University,,2010,,,,,,,,,,,
Book,Eye Fixation Metrics for Large Scale Evaluation and Comparison of Information Visualizations,"Zoya Bylinskii, Michelle Borkin, Nam Wook Kim, Hanspeter Pfister, Aude Oliva",Springer Mathematics and Visualizations series,ETVIS,2017,,,http://massvis.mit.edu/,,,,,,,,
Journal,Quality Metrics for Information Visualization,"Michael Behrisch, Michael Blumenschein, Nam Wook Kim, Alexandra Diehl, Lin Shao, Mennatallah El-Assady, Johannes Fuchs, Daniel Seebacher, Ulrik Brandes, Hanspeter Pfister, Daniel Weiskopf, Daniel A. Keim",Computer Graphics Forum,EuroVis,2018,,,https://visualquality.dbvis.de/,yes,,,,,,,
Journal,Visualizing Nonlinear Narratives with Story Curves,"Nam Wook Kim, Benjamin Bach, Hyejin Im, Sasha Schriber, Markus Gross, Hanspeter Pfister",IEEE Transactions on Visualization and Computer Graphics,InfoVis,2018,yes,,https://storycurve.namwkim.org/,yes,https://www.youtube.com/watch?v=XQ6xPkAZsPU,,,https://storyexplorer.namwkim.org/,yes,,
Journal,BubbleView: an Alternative to Eye-tracking for Crowdsourcing Image Importance,"Nam Wook Kim*, Zoya Bylinskii*, Michelle A. Borkin, Krzysztof Z. Gajos, Aude Oliva, Fredo Durand, Hanspeter Pfister",ACM Transactions on Computer-Human Interaction,TOCHI,2017,yes,,https://bubbleview.namwkim.org,yes,,https://github.com/namwkim/bubbleview,https://github.com/cvzoya/bubbleview,,yes,,
